,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,0.30070546737213405,0.0,0.16313932980599646,0.13139329805996472,0.03262786596119929,0.04938271604938271,0.001763668430335097,0.1419753086419753,0.04056437389770723,0.03262786596119929,0.06966490299823633,0.036155202821869487
C#,0.09523809523809523,0.047619047619047616,0.19047619047619047,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.2857142857142857
D,0.2453102453102453,0.007215007215007215,0.1544011544011544,0.16883116883116883,0.11976911976911978,0.07936507936507936,0.0,0.11544011544011544,0.007215007215007215,0.01875901875901876,0.05916305916305916,0.024531024531024532
D#,0.26332288401253917,0.003134796238244514,0.14106583072100312,0.1786833855799373,0.01567398119122257,0.1724137931034483,0.004702194357366771,0.1206896551724138,0.0219435736677116,0.0,0.07210031347962383,0.006269592476489028
E,0.12073490813648294,0.0026246719160104987,0.2650918635170604,0.013123359580052493,0.22572178477690288,0.10498687664041995,0.01837270341207349,0.15748031496062992,0.005249343832020997,0.05774278215223097,0.010498687664041995,0.01837270341207349
F,0.07301587301587302,0.0,0.08412698412698413,0.18888888888888888,0.08253968253968254,0.18095238095238095,0.01746031746031746,0.26825396825396824,0.031746031746031744,0.022222222222222223,0.03968253968253968,0.011111111111111112
F#,0.030303030303030304,0.030303030303030304,0.0,0.0,0.030303030303030304,0.15151515151515152,0.12121212121212122,0.42424242424242425,0.09090909090909091,0.06060606060606061,0.0,0.06060606060606061
G,0.1691542288557214,0.0029850746268656717,0.06965174129353234,0.07860696517412935,0.07761194029850746,0.1900497512437811,0.001990049751243781,0.20796019900497512,0.030845771144278607,0.050746268656716415,0.09950248756218906,0.020895522388059702
G#,0.1534090909090909,0.0,0.03409090909090909,0.09659090909090909,0.005681818181818182,0.125,0.0,0.23863636363636365,0.19886363636363635,0.005681818181818182,0.11931818181818182,0.022727272727272728
A,0.14622641509433962,0.014150943396226415,0.06132075471698113,0.009433962264150943,0.07547169811320754,0.06132075471698113,0.0047169811320754715,0.2971698113207547,0.0047169811320754715,0.21226415094339623,0.009433962264150943,0.10377358490566038
A#,0.23160762942779292,0.0027247956403269754,0.1362397820163488,0.09536784741144415,0.008174386920980926,0.04904632152588556,0.0,0.2724795640326976,0.04904632152588556,0.01634877384196185,0.1362397820163488,0.0027247956403269754
B,0.272108843537415,0.034013605442176874,0.14285714285714285,0.006802721088435374,0.04081632653061224,0.04081632653061224,0.02040816326530612,0.14285714285714285,0.02040816326530612,0.14965986394557823,0.0,0.1292517006802721
