,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
CC,0.4375,0.0763888888888889,0.09375,0.07291666666666667,0.024305555555555556,0.017361111111111112,0.006944444444444444,0.059027777777777776,0.027777777777777776,0.0625,0.08333333333333333,0.03819444444444445
CC#,0.19327731092436976,0.025210084033613446,0.2773109243697479,0.23529411764705882,0.08403361344537816,0.058823529411764705,0.004201680672268907,0.025210084033613446,0.004201680672268907,0.01680672268907563,0.029411764705882353,0.046218487394957986
CD,0.1801125703564728,0.016885553470919325,0.03564727954971857,0.1894934333958724,0.2964352720450281,0.09380863039399624,0.01876172607879925,0.04127579737335835,0.01125703564727955,0.0150093808630394,0.0375234521575985,0.06378986866791744
CD#,0.1935483870967742,0.03942652329749104,0.0967741935483871,0.05734767025089606,0.13620071684587814,0.1827956989247312,0.053763440860215055,0.14695340501792115,0.035842293906810034,0.007168458781362007,0.017921146953405017,0.03225806451612903
CE,0.09836065573770492,0.01092896174863388,0.09289617486338798,0.07650273224043716,0.0273224043715847,0.16939890710382513,0.0273224043715847,0.3333333333333333,0.03278688524590164,0.09836065573770492,0.02185792349726776,0.01092896174863388
CF,0.08860759493670886,0.006329113924050633,0.06329113924050633,0.22784810126582278,0.18354430379746836,0.056962025316455694,0.012658227848101266,0.2088607594936709,0.06329113924050633,0.05063291139240506,0.02531645569620253,0.012658227848101266
CF#,0.0,0.02127659574468085,0.0851063829787234,0.06382978723404255,0.10638297872340426,0.0851063829787234,0.02127659574468085,0.46808510638297873,0.0425531914893617,0.0425531914893617,0.02127659574468085,0.0425531914893617
CG,0.11428571428571428,0.0,0.05357142857142857,0.07142857142857142,0.08571428571428572,0.16428571428571428,0.05714285714285714,0.07857142857142857,0.06785714285714285,0.08571428571428572,0.16071428571428573,0.060714285714285714
CG#,0.09852216748768473,0.019704433497536946,0.034482758620689655,0.07881773399014778,0.11330049261083744,0.22167487684729065,0.034482758620689655,0.14285714285714285,0.03940886699507389,0.10344827586206896,0.054187192118226604,0.059113300492610835
CA,0.1188118811881188,0.019801980198019802,0.0594059405940594,0.019801980198019802,0.0627062706270627,0.1617161716171617,0.0462046204620462,0.15841584158415842,0.052805280528052806,0.026402640264026403,0.1551155115511551,0.1188118811881188
CA#,0.12871287128712872,0.019801980198019802,0.034653465346534656,0.04207920792079208,0.012376237623762377,0.03712871287128713,0.034653465346534656,0.21782178217821782,0.15841584158415842,0.19306930693069307,0.012376237623762377,0.10891089108910891
CB,0.12842105263157894,0.02526315789473684,0.10947368421052632,0.014736842105263158,0.008421052631578947,0.018947368421052633,0.0,0.0863157894736842,0.056842105263157895,0.25894736842105265,0.27578947368421053,0.016842105263157894
C#C,0.05434782608695652,0.057971014492753624,0.057971014492753624,0.021739130434782608,0.025362318840579712,0.021739130434782608,0.007246376811594203,0.05434782608695652,0.07246376811594203,0.07246376811594203,0.19202898550724637,0.36231884057971014
C#C#,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.07894736842105263,0.0,0.05263157894736842,0.07894736842105263,0.02631578947368421,0.02631578947368421,0.0
C#D,0.1218274111675127,0.14213197969543148,0.04568527918781726,0.13705583756345177,0.2131979695431472,0.12690355329949238,0.015228426395939087,0.04568527918781726,0.015228426395939087,0.025380710659898477,0.04568527918781726,0.06598984771573604
C#D#,0.07853403141361257,0.11518324607329843,0.05759162303664921,0.04712041884816754,0.18848167539267016,0.2198952879581152,0.1099476439790576,0.05235602094240838,0.010471204188481676,0.020942408376963352,0.020942408376963352,0.07853403141361257
C#E,0.05042016806722689,0.13445378151260504,0.16806722689075632,0.07563025210084033,0.025210084033613446,0.07563025210084033,0.07563025210084033,0.226890756302521,0.058823529411764705,0.01680672268907563,0.058823529411764705,0.03361344537815126
C#F,0.06557377049180328,0.0,0.03278688524590164,0.16393442622950818,0.09836065573770492,0.0,0.04918032786885246,0.16393442622950818,0.3114754098360656,0.06557377049180328,0.04918032786885246,0.0
C#F#,0.05,0.0,0.0,0.05,0.35,0.1,0.0,0.0,0.05,0.1,0.05,0.25
C#G,0.13636363636363635,0.045454545454545456,0.0,0.06818181818181818,0.09090909090909091,0.13636363636363635,0.06818181818181818,0.022727272727272728,0.13636363636363635,0.11363636363636363,0.09090909090909091,0.09090909090909091
