,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
CCC,0.3582089552238806,0.0,0.23880597014925373,0.08955223880597014,0.0,0.0,0.0,0.04477611940298507,0.0,0.16417910447761194,0.04477611940298507,0.05970149253731343
CCC#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCD,0.21794871794871795,0.0,0.11538461538461539,0.1794871794871795,0.4358974358974359,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.0
CCD#,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
CCE,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCF#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCG,0.25,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0
CCG#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCA,0.2413793103448276,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.41379310344827586,0.0,0.2413793103448276,0.0,0.06896551724137931
CCA#,0.3181818181818182,0.0,0.0,0.13636363636363635,0.0,0.09090909090909091,0.0,0.13636363636363635,0.0,0.0,0.3181818181818182,0.0
CCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CC#C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#C#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#D#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#F#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#G#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
