,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
CCC,0.676923076923077,0.0,0.1076923076923077,0.05128205128205128,0.02564102564102564,0.015384615384615385,0.0,0.046153846153846156,0.010256410256410256,0.02564102564102564,0.035897435897435895,0.005128205128205128
CCC#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCD,0.047619047619047616,0.0,0.047619047619047616,0.42857142857142855,0.3333333333333333,0.023809523809523808,0.0,0.11904761904761904,0.0,0.0,0.0,0.0
CCD#,0.2727272727272727,0.0,0.0,0.13636363636363635,0.18181818181818182,0.2727272727272727,0.0,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0
CCE,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0
CCF,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
CCF#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCG,0.18181818181818182,0.0,0.045454545454545456,0.0,0.045454545454545456,0.13636363636363635,0.0,0.2727272727272727,0.0,0.13636363636363635,0.18181818181818182,0.0
CCG#,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
CCA,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.5454545454545454,0.0,0.0
CCA#,0.07142857142857142,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.21428571428571427,0.0
CCB,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285
CC#C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#C#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#D#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#F#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#G#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#A#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC,0.10526315789473684,0.0,0.21052631578947367,0.05263157894736842,0.18421052631578946,0.05263157894736842,0.0,0.21052631578947367,0.05263157894736842,0.02631578947368421,0.05263157894736842,0.05263157894736842
CDC#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDD,0.058823529411764705,0.0,0.17647058823529413,0.058823529411764705,0.5294117647058824,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0
CDD#,0.175,0.0,0.1,0.175,0.0,0.375,0.0,0.05,0.0,0.0,0.125,0.0
CDE,0.125,0.0,0.21875,0.0,0.28125,0.125,0.0,0.1875,0.03125,0.0,0.0,0.03125
CDF,0.09090909090909091,0.0,0.0,0.0,0.0,0.45454545454545453,0.36363636363636365,0.0,0.0,0.09090909090909091,0.0,0.0
CDF#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDG,0.43478260869565216,0.0,0.2608695652173913,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.13043478260869565
CDG#,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDA,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
CDA#,0.07692307692307693,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0
CDB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD#C,0.078125,0.0,0.046875,0.515625,0.0,0.140625,0.0,0.203125,0.0,0.0,0.0,0.015625
CD#C#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD#D,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
CD#D#,0.125,0.0625,0.0625,0.3125,0.0,0.1875,0.0,0.1875,0.0,0.0,0.0625,0.0
CD#E,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
CD#F,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.14285714285714285,0.21428571428571427,0.35714285714285715,0.0,0.0,0.07142857142857142,0.0
CD#F#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD#G,0.2222222222222222,0.0,0.0,0.0,0.0,0.4074074074074074,0.0,0.07407407407407407,0.037037037037037035,0.0,0.25925925925925924,0.0
CD#G#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CD#A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD#A#,0.625,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
CD#B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEC,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
CEC#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CED,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CED#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEE,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
CEF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEF#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEG,0.05555555555555555,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.1111111111111111,0.0,0.16666666666666666,0.0,0.0
CEG#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
