,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
CCC,0.6341463414634146,0.04878048780487805,0.06504065040650407,0.056910569105691054,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.04065040650406504,0.016260162601626018,0.04878048780487805,0.04065040650406504,0.024390243902439025
CCC#,0.18181818181818182,0.09090909090909091,0.5454545454545454,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
CCD,0.14814814814814814,0.0,0.037037037037037035,0.2962962962962963,0.25925925925925924,0.07407407407407407,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.0,0.0,0.0
CCD#,0.14285714285714285,0.0,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.23809523809523808,0.047619047619047616,0.19047619047619047,0.047619047619047616,0.0,0.0,0.0
CCE,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,0.0
CCF,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
CCF#,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
CCG,0.17647058823529413,0.0,0.0,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.0,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.0
CCG#,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.125,0.25,0.125,0.125
CCA,0.1111111111111111,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.2222222222222222,0.2222222222222222,0.0
CCA#,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.125,0.16666666666666666,0.08333333333333333,0.041666666666666664,0.08333333333333333
CCB,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.18181818181818182,0.18181818181818182,0.0
CC#C,0.021739130434782608,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.021739130434782608,0.10869565217391304,0.32608695652173914,0.32608695652173914
CC#C#,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
CC#D,0.09090909090909091,0.16666666666666666,0.030303030303030304,0.2727272727272727,0.10606060606060606,0.07575757575757576,0.0,0.030303030303030304,0.030303030303030304,0.015151515151515152,0.09090909090909091,0.09090909090909091
CC#D#,0.05357142857142857,0.07142857142857142,0.07142857142857142,0.017857142857142856,0.26785714285714285,0.32142857142857145,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.017857142857142856
CC#E,0.05,0.25,0.05,0.15,0.05,0.05,0.05,0.25,0.05,0.0,0.05,0.0
CC#F,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.0,0.0
CC#F#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CC#G,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
CC#G#,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#A,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25
CC#A#,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.0
CC#B,0.45454545454545453,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
CDC,0.031578947368421054,0.031578947368421054,0.25263157894736843,0.031578947368421054,0.031578947368421054,0.042105263157894736,0.021052631578947368,0.042105263157894736,0.09473684210526316,0.11578947368421053,0.17894736842105263,0.12631578947368421
CDC#,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222
CDD,0.15789473684210525,0.05263157894736842,0.3157894736842105,0.05263157894736842,0.3157894736842105,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0
CDD#,0.0891089108910891,0.009900990099009901,0.2079207920792079,0.019801980198019802,0.15841584158415842,0.33663366336633666,0.019801980198019802,0.09900990099009901,0.019801980198019802,0.019801980198019802,0.0,0.019801980198019802
CDE,0.10759493670886076,0.006329113924050633,0.12658227848101267,0.006329113924050633,0.0759493670886076,0.33544303797468356,0.04430379746835443,0.23417721518987342,0.006329113924050633,0.04430379746835443,0.0,0.012658227848101266
CDF,0.061224489795918366,0.02040816326530612,0.12244897959183673,0.14285714285714285,0.12244897959183673,0.02040816326530612,0.02040816326530612,0.1836734693877551,0.08163265306122448,0.16326530612244897,0.04081632653061224,0.02040816326530612
CDF#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.2,0.0,0.0
CDG,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.0,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.09090909090909091
CDG#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
CDA,0.625,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125
CDA#,0.4,0.0,0.05,0.1,0.0,0.0,0.05,0.15,0.05,0.05,0.05,0.1
CDB,0.6176470588235294,0.058823529411764705,0.11764705882352941,0.0,0.029411764705882353,0.0,0.0,0.058823529411764705,0.0,0.08823529411764706,0.029411764705882353,0.0
CD#C,0.037037037037037035,0.1111111111111111,0.2037037037037037,0.05555555555555555,0.0,0.07407407407407407,0.018518518518518517,0.16666666666666666,0.037037037037037035,0.07407407407407407,0.18518518518518517,0.037037037037037035
CD#C#,0.36363636363636365,0.0,0.09090909090909091,0.18181818181818182,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0
CD#D,0.5555555555555556,0.14814814814814814,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.07407407407407407,0.037037037037037035
CD#D#,0.1875,0.0625,0.125,0.5625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD#E,0.15789473684210525,0.02631578947368421,0.13157894736842105,0.18421052631578946,0.02631578947368421,0.21052631578947367,0.05263157894736842,0.18421052631578946,0.0,0.02631578947368421,0.0,0.0
CD#F,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.21568627450980393,0.0,0.0784313725490196,0.17647058823529413,0.2549019607843137,0.058823529411764705,0.0,0.09803921568627451,0.0392156862745098
CD#F#,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.5333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.0
CD#G,0.14634146341463414,0.0,0.04878048780487805,0.17073170731707318,0.0975609756097561,0.0975609756097561,0.12195121951219512,0.024390243902439025,0.07317073170731707,0.04878048780487805,0.0975609756097561,0.07317073170731707
CD#G#,0.2,0.0,0.0,0.2,0.0,0.2,0.1,0.0,0.1,0.0,0.1,0.1
CD#A,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
CD#A#,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0
CD#B,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0
CEC,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.0,0.0,0.4444444444444444,0.05555555555555555,0.0,0.0,0.1111111111111111
CEC#,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CED,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.0,0.17647058823529413,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0
CED#,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.0,0.14285714285714285,0.21428571428571427,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142
CEE,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
