,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,0.24938875305623473,0.0,0.26813365933170336,0.05460472697636512,0.04726976365118175,0.03341483292583537,0.0,0.09861450692746536,0.0,0.1165444172779136,0.08720456397718011,0.04482477587612062
C#,8.900302339842094e-307,4.587926368437481e-278,6.473779614257714e-273,1.2919679701818494e-263,1.822461024675562e-258,7.05154614917981e-278,2.3846904942782578e-244,3.3632532193197533e-239,6.7153263468694895e-230,9.468035363068677e-225,1.8910461942136962e-215,2.6653863402619654e-210
D,0.34692028985507245,0.0,0.18478260869565216,0.06974637681159421,0.24094202898550723,0.019021739130434784,0.004528985507246377,0.06521739130434782,0.0,0.02717391304347826,0.02355072463768116,0.018115942028985508
D#,0.09523809523809523,0.0,0.22510822510822512,0.25757575757575757,0.0,0.3051948051948052,0.0,0.09523809523809523,0.0,0.0,0.021645021645021644,0.0
E,0.06521739130434782,0.0,0.37318840579710144,0.0,0.16908212560386474,0.14371980676328502,0.004830917874396135,0.18840579710144928,0.0,0.05314009661835749,0.0,0.0024154589371980675
F,0.040973111395646605,0.0,0.04737516005121639,0.176696542893726,0.1293213828425096,0.2727272727272727,0.0,0.2560819462227913,0.012804097311139564,0.014084507042253521,0.0499359795134443,0.0
F#,0.0,0.0,0.09375,0.0,0.625,0.0,0.125,0.0625,0.0,0.09375,0.0,0.0
G,0.10379746835443038,0.0,0.04050632911392405,0.04135021097046414,0.16118143459915613,0.17130801687763714,0.016033755274261603,0.2489451476793249,0.012658227848101266,0.13755274261603376,0.049789029535864976,0.016877637130801686
G#,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.49122807017543857,0.3333333333333333,0.0,0.07017543859649122,0.0
A,0.18574108818011256,0.0,0.11444652908067542,0.0,0.08442776735459662,0.03377110694183865,0.0,0.3302063789868668,0.0,0.18198874296435272,0.00375234521575985,0.06566604127579738
A#,0.3424657534246575,0.0,0.00821917808219178,0.030136986301369864,0.0,0.04657534246575343,0.0,0.21643835616438356,0.03561643835616438,0.0,0.32054794520547947,0.0
B,0.48026315789473684,0.0,0.039473684210526314,0.0,0.006578947368421052,0.013157894736842105,0.0,0.05263157894736842,0.0,0.27631578947368424,0.0,0.13157894736842105
